Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes,Vote Share (%)
35121,York--Durham,Justin Graham,NDP-New Democratic Party,1829,2.5
35121,York--Durham,Matt Pearce,Green Party,797,1.1
35121,York--Durham,Patricia Conlin,People's Party - PPC,901,1.2
35121,York--Durham,Robert Grossi,Liberal,28726,39.6
35122,York South--Weston--Etobicoke,Ahmed Hussen,Liberal,24663,55.3
35122,York South--Weston--Etobicoke,Louise James,NDP-New Democratic Party,2190,4.9
35122,York South--Weston--Etobicoke,Nicolas Pham,Conservative,17746,39.8
46001,Brandon--Souris,Ghazanfar Ali Tarar,Liberal,10766,23.4
46001,Brandon--Souris,Grant Jackson,Conservative,28624,62.2
46001,Brandon--Souris,Quentin Robinson,NDP-New Democratic Party,6637,14.4
46002,Churchill--Keewatinook Aski,Dylan Young,People's Party - PPC,349,1.7
46002,Churchill--Keewatinook Aski,Lachlan De Nardi,Conservative,4927,24.1
46002,Churchill--Keewatinook Aski,Niki Ashton,NDP-New Democratic Party,5880,28.7
46002,Churchill--Keewatinook Aski,Rebecca Chartrand,Liberal,9313,45.5
46003,Elmwood--Transcona,Colin Reynolds,Conservative,19463,41.6
46003,Elmwood--Transcona,Collin Watson,People's Party - PPC,396,0.8
46003,Elmwood--Transcona,Ian MacIntyre,Liberal,10512,22.4
46003,Elmwood--Transcona,Leila Dance,NDP-New Democratic Party,16138,34.5
46003,Elmwood--Transcona,Nicolas Geddert,Green Party,321,0.7
46004,Kildonan--St. Paul,Emily Clark,NDP-New Democratic Party,3863,7.0
46004,Kildonan--St. Paul,Erik Holmes,People's Party - PPC,486,0.9
46004,Kildonan--St. Paul,Raquel Dancho,Conservative,26364,47.5
46004,Kildonan--St. Paul,Thomas Naaykens,Liberal,24808,44.7
46005,Portage--Lisgar,Branden Leslie,Conservative,31889,69.4
46005,Portage--Lisgar,Janine G. Gibson,Green Party,595,1.3
46005,Portage--Lisgar,Kevin Larson,People's Party - PPC,977,2.1
46005,Portage--Lisgar,Lisa Tessier,NDP-New Democratic Party,2011,4.4
46005,Portage--Lisgar,Robert Kreis,Liberal,10493,22.8
46006,Provencher,Blair Mahaffy,Green Party,705,1.4
46006,Provencher,Brandy Schmidt,NDP-New Democratic Party,2398,4.6
46006,Provencher,Noël Gautron,People's Party - PPC,942,1.8
46006,Provencher,Ted Falk,Conservative,34364,66.3
46006,Provencher,Trevor Kirczenow,Liberal,13394,25.9
46007,Riding Mountain,Andrew Douglas Maxwell,NDP-New Democratic Party,3072,7.3
46007,Riding Mountain,Dan Mazier,Conservative,28409,67.8
46007,Riding Mountain,Jim Oliver,People's Party - PPC,564,1.3
46007,Riding Mountain,Liz Clayton,Green Party,547,1.3
46007,Riding Mountain,Terry Hayward,Liberal,9281,22.2
46008,St. Boniface--St. Vital,Gilles Pelletier,People's Party - PPC,523,1.0
46008,St. Boniface--St. Vital,Ginette Lavack,Liberal,32599,59.8
46008,St. Boniface--St. Vital,Shola Agboola,Conservative,17625,32.3
46008,St. Boniface--St. Vital,Thomas Linner,NDP-New Democratic Party,3773,6.9
46009,Selkirk--Interlake--Eastman,Byron Gryba,People's Party - PPC,473,0.9
46009,Selkirk--Interlake--Eastman,Chris Riddell,United Party of Canada (UP),404,0.7
46009,Selkirk--Interlake--Eastman,James Bezan,Conservative,32788,60.2
46009,Selkirk--Interlake--Eastman,Josef Estabrooks,NDP-New Democratic Party,3535,6.5
46009,Selkirk--Interlake--Eastman,Rhonda Nichol,Liberal,16570,30.4
46009,Selkirk--Interlake--Eastman,Wayne James,Green Party,709,1.3
46010,Winnipeg Centre,Debra Wall,Animal Protection Party,213,0.6
46010,Winnipeg Centre,Donald Grant,People's Party - PPC,367,1.1
46010,Winnipeg Centre,Gary Gervais,Green Party,389,1.1
46010,Winnipeg Centre,Leah Gazan,NDP-New Democratic Party,13524,39.4
46010,Winnipeg Centre,Rahul Walia,Liberal,12138,35.4
46010,Winnipeg Centre,Tom Bambrick,Conservative,7658,22.3
46011,Winnipeg North,Adebayo Akinrogunde,NDP-New Democratic Party,2059,6.0
46011,Winnipeg North,Angela Brydges,Green Party,194,0.6
46011,Winnipeg North,Jessica Bailon,People's Party - PPC,274,0.8
46011,Winnipeg North,Kevin Lamoureux,Liberal,19792,57.9
46011,Winnipeg North,Rachel Punzalan,Conservative,11740,34.4
46011,Winnipeg North,Sarah Borbridge,Communist,114,0.3
46012,Winnipeg South,Janice Morley-Lecomte,Conservative,16252,35.1
46012,Winnipeg South,Joanne Bjornson,NDP-New Democratic Party,2114,4.6
46012,Winnipeg South,Johann Rempel Fehr,People's Party - PPC,385,0.8
46012,Winnipeg South,Manjit Kaur,Green Party,231,0.5
46012,Winnipeg South,Terry Duguid,Liberal,27337,59.0
46013,Winnipeg South Centre,Ben Carr,Liberal,33834,63.6
46013,Winnipeg South Centre,Cam Scott,Communist,314,0.6
46013,Winnipeg South Centre,Chris Petriew,Green Party,450,0.8
46013,Winnipeg South Centre,Jaclyn Cummings,People's Party - PPC,272,0.5
46013,Winnipeg South Centre,Jorge Requena Ramos,NDP-New Democratic Party,3463,6.5
46013,Winnipeg South Centre,Royden Brousseau,Conservative,14748,27.7
46013,Winnipeg South Centre,Tait Palsson,Independent,97,0.2
46014,Winnipeg West,Avery Selby-Lyons,NDP-New Democratic Party,2218,4.0
46014,Winnipeg West,Dennis Bayomi,Green Party,438,0.8
46014,Winnipeg West,Doug Eyolfson,Liberal,30276,54.5
46014,Winnipeg West,Marty Morantz,Conservative,22659,40.8
47001,Battlefords--Lloydminster--Meadow Lake,Darrell Patan,Canadian Future Party,264,0.7
47001,Battlefords--Lloydminster--Meadow Lake,Larry Ingram,Liberal,7073,18.7
47001,Battlefords--Lloydminster--Meadow Lake,Rosemarie Falk,Conservative,28634,75.8
47001,Battlefords--Lloydminster--Meadow Lake,William Petryk,NDP-New Democratic Party,1816,4.8
47002,Carlton Trail--Eagle Creek,Cheryl Loadman,NDP-New Democratic Party,2616,5.6
47002,Carlton Trail--Eagle Creek,Katelyn Zimmer,Liberal,8008,17.0
47002,Carlton Trail--Eagle Creek,Kelly Block,Conservative,36427,77.4
47003,Desnethé--Missinippi--Churchill River,Buckley Belanger,Liberal,5876,65.1
47003,Desnethé--Missinippi--Churchill River,Doug Racine,NDP-New Democratic Party,850,9.4
47003,Desnethé--Missinippi--Churchill River,Jim Lemaigre,Conservative,2301,25.5
47004,Moose Jaw--Lake Centre--Lanigan,Britt Baumann,NDP-New Democratic Party,3458,7.5
47004,Moose Jaw--Lake Centre--Lanigan,Chey Craik,People's Party - PPC,1358,3.0
47004,Moose Jaw--Lake Centre--Lanigan,Fraser Tolmie,Conservative,32991,71.9
47004,Moose Jaw--Lake Centre--Lanigan,Mike Gardiner,Green Party,411,0.9
47004,Moose Jaw--Lake Centre--Lanigan,Tabitha Mukamusoni,Liberal,7661,16.7
47005,Prince Albert,Christopher Hadubiak,Liberal,7451,19.2
47005,Prince Albert,Randy Hoback,Conservative,27763,71.5
47005,Prince Albert,Virginia Kutzan,NDP-New Democratic Party,3630,9.3
47006,Regina--Lewvan,Godwin Ezizor,People's Party - PPC,243,0.6
47006,Regina--Lewvan,Mac Hird,Liberal,18893,43.0
47006,Regina--Lewvan,Michael Wright,Green Party,272,0.6
47006,Regina--Lewvan,Ray Aldinger,NDP-New Democratic Party,2573,5.9
47006,Regina--Lewvan,Warren Steinley,Conservative,21988,50.0
47007,Regina--Qu'Appelle,Andrew Scheer,Conservative,27024,64.0
47007,Regina--Qu'Appelle,Chris Simmie,NDP-New Democratic Party,3388,8.0
47007,Regina--Qu'Appelle,Dionne Fehler,People's Party - PPC,441,1.0
47007,Regina--Qu'Appelle,Rahima Mian,Liberal,11391,27.0
47008,Regina--Wascana,Jeffrey Walters,Liberal,19252,43.7
47008,Regina--Wascana,Kaitlyn Stadnyk,NDP-New Democratic Party,2138,4.9
47008,Regina--Wascana,Kimberly Epp,Green Party,289,0.7
47008,Regina--Wascana,Michael Kram,Conservative,22072,50.1
47008,Regina--Wascana,Peter Bruce,People's Party - PPC,326,0.7
47009,Saskatoon South,Hamish Graham,Green Party,310,0.6
47009,Saskatoon South,Jacob Gadzella,NDP-New Democratic Party,4515,9.1
47009,Saskatoon South,Kevin Waugh,Conservative,24516,49.3
47009,Saskatoon South,Richard Brent Wintringham,People's Party - PPC,308,0.6
47009,Saskatoon South,Rokhan Sarwar,Liberal,20107,40.4
47010,Saskatoon--University,Corey Tochor,Conservative,23178,48.9
47010,Saskatoon--University,Greg Poelzer,Liberal,19622,41.4
47010,Saskatoon--University,Isaiah Hunter,Green Party,263,0.6
47010,Saskatoon--University,Jaxson Boot,People's Party - PPC,327,0.7
47010,Saskatoon--University,Melissa McGillivray,NDP-New Democratic Party,4035,8.5
47011,Saskatoon West,Brad Redekopp,Conservative,19814,52.7
47011,Saskatoon West,Chad Eggerman,Liberal,10254,27.2
47011,Saskatoon West,Naomi Hunter,Green Party,376,1.0
47011,Saskatoon West,Rachel Loewen Walker,NDP-New Democratic Party,7187,19.1
47012,Souris--Moose Mountain,Aziz Mian,Liberal,4051,9.8
47012,Souris--Moose Mountain,Lyndon Dayman,Canadian Future Party,304,0.7
47012,Souris--Moose Mountain,Remi Rheault,Green Party,235,0.6
47012,Souris--Moose Mountain,Sheena Muirhead Koops,NDP-New Democratic Party,1888,4.6
47012,Souris--Moose Mountain,Steven Bonk,Conservative,34793,84.0
47012,Souris--Moose Mountain,Travis Patron,Independent,157,0.4
47013,Swift Current--Grasslands--Kindersley,Alex McPhee,NDP-New Democratic Party,2250,5.7
47013,Swift Current--Grasslands--Kindersley,Jeremy Patzer,Conservative,32292,82.0
47013,Swift Current--Grasslands--Kindersley,Maria Rose Lewans,Independent,426,1.1
47013,Swift Current--Grasslands--Kindersley,William Caton,Liberal,4420,11.2
47014,Yorkton--Melville,Alec Guggenmos,Libertarian,226,0.6
47014,Yorkton--Melville,Cathay Wagantall,Conservative,28702,77.5
47014,Yorkton--Melville,Luke Guimond,Liberal,5338,14.4
47014,Yorkton--Melville,Michaela Krakowetz,NDP-New Democratic Party,2034,5.5
47014,Yorkton--Melville,Valerie Brooks,Green Party,713,1.9
48001,Airdrie--Cochrane,Blake Richards,Conservative,50252,71.2
48001,Airdrie--Cochrane,Christopher Bell,Christian Heritage Party,380,0.5
48001,Airdrie--Cochrane,David Sabine,Libertarian,623,0.9
48001,Airdrie--Cochrane,Sarah Zagoda,NDP-New Democratic Party,2591,3.7
48001,Airdrie--Cochrane,Sean Secord,Liberal,16714,23.7
48002,Battle River--Crowfoot,Brent Sutton,Liberal,7566,11.7
48002,Battle River--Crowfoot,Damien Kurek,Conservative,53684,82.8
48002,Battle River--Crowfoot,Douglas Gook,Green Party,474,0.7
48002,Battle River--Crowfoot,James MacKay,NDP-New Democratic Party,2061,3.2
48002,Battle River--Crowfoot,Jonathan Bridges,People's Party - PPC,1022,1.6
48003,Bow River,Aaron Patton,United Party of Canada (UP),296,0.5
48003,Bow River,Bentley Barnes,Liberal,9562,16.9
48003,Bow River,David Bexte,Conservative,44605,78.9
48003,Bow River,Louisa Gwin,NDP-New Democratic Party,1689,3.0
48003,Bow River,Tom Lipp,Christian Heritage Party,402,0.7
48004,Calgary Centre,Beau Shaw,NDP-New Democratic Party,1665,2.6
48004,Calgary Centre,Greg McLean,Conservative,31604,50.2
48004,Calgary Centre,Jayden Baldonado,Green Party,362,0.6
48004,Calgary Centre,Lindsay Luhnau,Liberal,28824,45.8
48004,Calgary Centre,Robert Hawley,People's Party - PPC,365,0.6
48004,Calgary Centre,Scott Fea,Parti Rhinocéros Party,126,0.2
48005,Calgary Confederation,Artyom Ovsepyan,People's Party - PPC,302,0.4
48005,Calgary Confederation,Corey Hogan,Liberal,33112,48.1
48005,Calgary Confederation,Jeffrey Reid Marsh,Canadian Future Party,198,0.3
48005,Calgary Confederation,Jeremy Nixon,Conservative,31839,46.3
48005,Calgary Confederation,Keira Gunn,NDP-New Democratic Party,2844,4.1
48005,Calgary Confederation,Kevan Hunter,Marxist-Leninist,144,0.2
48005,Calgary Confederation,Richard Willott,Green Party,400,0.6
48006,Calgary Crowfoot,Jim Samuelson,NDP-New Democratic Party,1741,2.6
48006,Calgary Crowfoot,Lachlan Van Egmond,Independent,131,0.2
48006,Calgary Crowfoot,Nanette Nerland,Green Party,346,0.5
48006,Calgary Crowfoot,Pat Kelly,Conservative,39971,58.8
48006,Calgary Crowfoot,Shahnaz Munir,Liberal,25386,37.4
48006,Calgary Crowfoot,Yvonne Snyder,People's Party - PPC,360,0.5
48007,Calgary East,Carey Rutherford,Green Party,664,1.2
48007,Calgary East,Garry Dirk,Christian Heritage Party,321,0.6
48007,Calgary East,Harry Dhillon,People's Party - PPC,908,1.7
48007,Calgary East,Jasraj Hallan,Conservative,32490,60.5
48007,Calgary East,Jennifer Geha,NDP-New Democratic Party,2092,3.9
48007,Calgary East,Jonathan Trautman,Communist,137,0.3
48007,Calgary East,Priti Obhrai-Martin,Liberal,17062,31.8
48008,Calgary Heritage,Becki Zimmerman,NDP-New Democratic Party,1691,2.5
48008,Calgary Heritage,Chris Galas,Independent,280,0.4
48008,Calgary Heritage,Larry R. Heather,Christian Heritage Party,268,0.4
48008,Calgary Heritage,Ravenmoon Crocker,Green Party,493,0.7
48008,Calgary Heritage,Scott Arnott,Liberal,23673,34.6
48008,Calgary Heritage,Shuv Majumdar,Conservative,42088,61.4
48009,Calgary McKnight,Arlington Antonio Santiago,NDP-New Democratic Party,1204,2.8
48009,Calgary McKnight,Benjamin Cridland,Canadian Future Party,162,0.4
48009,Calgary McKnight,Dalwinder Gill,Conservative,20863,49.1
48009,Calgary McKnight,Evelyn Tanaka,Green Party,273,0.6
48009,Calgary McKnight,George Chahal,Liberal,19546,46.0
48009,Calgary McKnight,Najeeb Butt,People's Party - PPC,323,0.8
48009,Calgary McKnight,Syed Hasnain,Centrist,107,0.3
48010,Calgary Midnapore,Adam Delgado,Green Party,495,0.7
48010,Calgary Midnapore,Austin Mullins,NDP-New Democratic Party,2271,3.1
48010,Calgary Midnapore,Colin Kindret,People's Party - PPC,556,0.8
48010,Calgary Midnapore,Stephanie Kusie,Conservative,48131,65.5
48010,Calgary Midnapore,Sunjiv Raval,Liberal,21979,29.9
48011,Calgary Nose Hill,Addison Fach,Green Party,430,0.7
48011,Calgary Nose Hill,Ahmed Khan,NDP-New Democratic Party,1975,3.2
48011,Calgary Nose Hill,Michelle Rempel Garner,Conservative,36597,59.4
48011,Calgary Nose Hill,Peggy Askin,Marxist-Leninist,115,0.2
48011,Calgary Nose Hill,Tom Becker,Liberal,22276,36.2
48011,Calgary Nose Hill,Vanessa Wang,Parti Rhinocéros Party,199,0.3
48012,Calgary Shepard,Donald Legere,People's Party - PPC,383,0.6
48012,Calgary Shepard,Gul Khan,Liberal,18421,28.2
48012,Calgary Shepard,Robert Frasch,Green Party,302,0.5
48012,Calgary Shepard,Tom Kmiec,Conservative,44363,68.0
48012,Calgary Shepard,Tory Tomblin,NDP-New Democratic Party,1780,2.7
48013,Calgary Signal Hill,Bryndis Whitson,Liberal,25174,36.4
48013,Calgary Signal Hill,David GL McKenzie,Conservative,41638,60.1
48013,Calgary Signal Hill,Grant Strem,People's Party - PPC,492,0.7
48013,Calgary Signal Hill,Khalis Ahmed,NDP-New Democratic Party,1656,2.4
48013,Calgary Signal Hill,Paul Godard,Canadian Future Party,265,0.4
48014,Calgary Skyview,Amanpreet S. Gill,Conservative,27808,55.4
48014,Calgary Skyview,Hafeez Malik,Liberal,18842,37.6
48014,Calgary Skyview,Jag Anand,Independent,529,1.1
48014,Calgary Skyview,Minesh Patel,Independent,1002,2.0
48014,Calgary Skyview,Rajesh Angral,NDP-New Democratic Party,1351,2.7
48014,Calgary Skyview,Scott Calverley,Independent,620,1.2
48015,Edmonton Centre,David John Bohonos,Christian Heritage Party,158,0.3
48015,Edmonton Centre,Eleanor Olszewski,Liberal,24138,44.3
48015,Edmonton Centre,Gregory Bell,Independent,155,0.3
48015,Edmonton Centre,John Ross,People's Party - PPC,468,0.9
48015,Edmonton Centre,Merryn Edwards de la O,Marxist-Leninist,67,0.1
48015,Edmonton Centre,Mike Dutcher,Independent,137,0.3
48015,Edmonton Centre,Naomi Rankin,Communist,133,0.2
48015,Edmonton Centre,Ronald S. Billingsley Jr.,Independent,106,0.2
48015,Edmonton Centre,Sayid Ahmed,Conservative,20626,37.9
48015,Edmonton Centre,Trisha Estabrooks,NDP-New Democratic Party,8440,15.5
48016,Edmonton Gateway,Ashok Patel,Independent,838,1.6
48016,Edmonton Gateway,Jeremy Hoefsloot,Liberal,19435,37.3
48016,Edmonton Gateway,Madeline Mayes,NDP-New Democratic Party,2565,4.9
48016,Edmonton Gateway,Paul McCormack,People's Party - PPC,474,0.9
48016,Edmonton Gateway,Rod Loyola,No Affiliation,2455,4.7
48016,Edmonton Gateway,Tim Uppal,Conservative,26385,50.6
48017,Edmonton Griesbach,Alex Boykowich,Communist,146,0.3
48017,Edmonton Griesbach,Blake Desjarlais,NDP-New Democratic Party,16717,34.1
48017,Edmonton Griesbach,Brent Tyson,Canadian Future Party,72,0.1
48017,Edmonton Griesbach,Crystal Vargas,Independent,118,0.2
48017,Edmonton Griesbach,Kerry Diotte,Conservative,22256,45.5
48017,Edmonton Griesbach,Mary Joyce,Marxist-Leninist,64,0.1
48017,Edmonton Griesbach,Michael Hunter,Green Party,302,0.6
48017,Edmonton Griesbach,Patrick Lennox,Liberal,8973,18.3
48017,Edmonton Griesbach,Thomas Matty,People's Party - PPC,318,0.6
48018,Edmonton Manning,Blair-Marie Coles,Liberal,17603,35.3
48018,Edmonton Manning,Lesley Thompson,NDP-New Democratic Party,4935,9.9
48018,Edmonton Manning,Robert Bard,People's Party - PPC,824,1.7
48018,Edmonton Manning,Ziad Aboultaif,Conservative,26445,53.1
48019,Edmonton Northwest,Albert Carson,People's Party - PPC,593,1.1
48019,Edmonton Northwest,Billy Morin,Conservative,29194,53.4
48019,Edmonton Northwest,Colleen Rice,Green Party,335,0.6
48019,Edmonton Northwest,Lindsey Machona,Liberal,20907,38.3
48019,Edmonton Northwest,Omar Abubakar,NDP-New Democratic Party,3597,6.6
48020,Edmonton Riverbend,Dwayne Dudiak,People's Party - PPC,410,0.7
48020,Edmonton Riverbend,Mark Minenko,Liberal,27075,44.8
48020,Edmonton Riverbend,Matt Jeneroux,Conservative,30343,50.2
48020,Edmonton Riverbend,Susan Cake,NDP-New Democratic Party,2563,4.2
48021,Edmonton Southeast,Amarjeet Sohi,Liberal,18481,38.8
48021,Edmonton Southeast,Corinne Benson,Communist,268,0.6
48021,Edmonton Southeast,Gurleen Chandi,Independent,292,0.6
48021,Edmonton Southeast,Harpreet Grewal,NDP-New Democratic Party,2536,5.3
48021,Edmonton Southeast,Jagsharan Singh Mahal,Conservative,25206,52.9
48021,Edmonton Southeast,Martin Schuetza,People's Party - PPC,881,1.8
48022,Edmonton Strathcona,Atul Deshmukh,Green Party,366,0.6
48022,Edmonton Strathcona,Christian Bourque,Communist,181,0.3
48022,Edmonton Strathcona,David Joel Wojtowicz,People's Party - PPC,386,0.6
48022,Edmonton Strathcona,Graham Lettner,Independent,250,0.4
48022,Edmonton Strathcona,Heather McPherson,NDP-New Democratic Party,28027,47.0
48022,Edmonton Strathcona,Miles Berry,Conservative,19768,33.1
48022,Edmonton Strathcona,Ron Thiering,Liberal,10709,17.9
48023,Edmonton West,Brad Fournier,Liberal,23995,40.7
48023,Edmonton West,Brent Kinzel,People's Party - PPC,534,0.9
48023,Edmonton West,Kelly McCauley,Conservative,31201,52.9
48023,Edmonton West,Peggy Morton,Marxist-Leninist,121,0.2
48023,Edmonton West,Sean McQuillan,NDP-New Democratic Party,3164,5.4
48024,Foothills,Emma Hoberg,Green Party,589,0.8
48024,Foothills,John Barlow,Conservative,54874,76.3
48024,Foothills,John Bruinsma,Liberal,13706,19.1
48024,Foothills,Kaitte Aurora,NDP-New Democratic Party,1923,2.7
48024,Foothills,Paul O'Halloran,People's Party - PPC,796,1.1
48025,Fort McMurray--Cold Lake,Alan Clarke,People's Party - PPC,896,1.8
48025,Fort McMurray--Cold Lake,Brian Deheer,Green Party,290,0.6
48025,Fort McMurray--Cold Lake,Kaitlyn Staines,Liberal,7193,14.5
48025,Fort McMurray--Cold Lake,Kulbir Chawla,Independent,101,0.2
48025,Fort McMurray--Cold Lake,Laila Goodridge,Conservative,39649,80.2
48025,Fort McMurray--Cold Lake,You-Ju Choi,NDP-New Democratic Party,1337,2.7
48026,Grande Prairie,Chris Warkentin,Conservative,47904,81.7
48026,Grande Prairie,Donovan Eckstrom,Parti Rhinocéros Party,291,0.5
48026,Grande Prairie,Elliot McDavid,Independent,223,0.4
48026,Grande Prairie,Jennifer Villebrun,NDP-New Democratic Party,2460,4.2
48026,Grande Prairie,Maureen Mcleod,Liberal,6946,11.8
48026,Grande Prairie,Shawn McLean,People's Party - PPC,828,1.4
48027,Lakeland,Barry Milaney,Liberal,6886,12.2
48027,Lakeland,Bridget Burns,Green Party,411,0.7
48027,Lakeland,Des Bissonnette,NDP-New Democratic Party,2153,3.8
48027,Lakeland,Michael Manchen,People's Party - PPC,982,1.7
48027,Lakeland,Micheal Speirs,Christian Heritage Party,335,0.6
48027,Lakeland,Shannon Stubbs,Conservative,45826,81.0
48028,Leduc--Wetaskiwin,Christopher Everingham,Canadian Future Party,145,0.2
48028,Leduc--Wetaskiwin,Jose Flores,People's Party - PPC,688,1.1
48028,Leduc--Wetaskiwin,Katherine Swampy,NDP-New Democratic Party,3927,6.1
48028,Leduc--Wetaskiwin,Kirk Cayer,United Party of Canada (UP),318,0.5
48028,Leduc--Wetaskiwin,Mike Lake,Conservative,47947,74.7
48028,Leduc--Wetaskiwin,Ronald Brochu,Liberal,11136,17.4
48029,Lethbridge,Amber Murray,Green Party,457,0.7
48029,Lethbridge,Chris Spearman,Liberal,21899,32.7
48029,Lethbridge,Clara Piedalue,People's Party - PPC,478,0.7
48029,Lethbridge,Marc Slingerland,Christian Heritage Party,806,1.2
48029,Lethbridge,Nathan Svoboda,NDP-New Democratic Party,2431,3.6
48029,Lethbridge,Rachael Thomas,Conservative,40866,61.1
48030,Medicine Hat--Cardston--Warner,Andy Shadrack,Green Party,440,0.8
48030,Medicine Hat--Cardston--Warner,Glen Motz,Conservative,41518,76.7
48030,Medicine Hat--Cardston--Warner,Jocelyn Johnson,NDP-New Democratic Party,2588,4.8
48030,Medicine Hat--Cardston--Warner,Tom Rooke,Liberal,9554,17.7
48031,Parkland,Ashley Fearnall,Liberal,12690,17.8
48031,Parkland,Dane Lloyd,Conservative,53468,75.2
48031,Parkland,Daniel Birrell,Green Party,449,0.6
48031,Parkland,Jason Lavigne,People's Party - PPC,1066,1.5
48031,Parkland,Keri Goad,NDP-New Democratic Party,2949,4.1
48031,Parkland,Kevin Schulthies,Christian Heritage Party,198,0.3
48031,Parkland,Wade Klassen,United Party of Canada (UP),287,0.4
48032,Peace River--Westlock,Arnold Viersen,Conservative,41130,77.1
48032,Peace River--Westlock,Darrell Teske,Independent,3048,5.7
48032,Peace River--Westlock,Landen Tischer,NDP-New Democratic Party,2913,5.5
48032,Peace River--Westlock,Luke Markowski,Liberal,6278,11.8
48033,Ponoka--Didsbury,Blaine Calkins,Conservative,56106,81.8
48033,Ponoka--Didsbury,Grant Abraham,United Party of Canada (UP),2129,3.1
48033,Ponoka--Didsbury,Larry Gratton,People's Party - PPC,1289,1.9
48033,Ponoka--Didsbury,Logan Hooley,NDP-New Democratic Party,7414,10.8
48033,Ponoka--Didsbury,Zarnab Zafar,No Affiliation,1641,2.4
48034,Red Deer,Ashley MacDonald,Green Party,618,1.0
48034,Red Deer,Ayaz Bangash,Liberal,13564,21.9
48034,Red Deer,Brandon Pringle,Christian Heritage Party,219,0.4
48034,Red Deer,Burton Bailey,Conservative,44239,71.6
48034,Red Deer,Elias Assefa,NDP-New Democratic Party,2375,3.8
48034,Red Deer,Kyla Courte,People's Party - PPC,813,1.3
48035,Sherwood Park--Fort Saskatchewan,Chris Jones,NDP-New Democratic Party,4136,5.1
48035,Sherwood Park--Fort Saskatchewan,Garnett Genuis,Conservative,54131,66.3
48035,Sherwood Park--Fort Saskatchewan,Jay Sobel,People's Party - PPC,497,0.6
48035,Sherwood Park--Fort Saskatchewan,Mark Horseman,Canadian Future Party,237,0.3
48035,Sherwood Park--Fort Saskatchewan,Randall Emmons,Green Party,448,0.5
48035,Sherwood Park--Fort Saskatchewan,Tanya Holm,Liberal,22178,27.2
48036,St. Albert--Sturgeon River,Brigitte Cecelia,People's Party - PPC,820,1.1
48036,St. Albert--Sturgeon River,Dorothy Anderson,NDP-New Democratic Party,3684,4.8
48036,St. Albert--Sturgeon River,Jeff Willerton,Christian Heritage Party,264,0.3
48036,St. Albert--Sturgeon River,Lucia Stachurski,Liberal,22977,29.9
48036,St. Albert--Sturgeon River,Michael Cooper,Conservative,49216,63.9
48037,Yellowhead,Avni Soma,NDP-New Democratic Party,2753,4.0
48037,Yellowhead,Dale Heath,Christian Heritage Party,253,0.4
48037,Yellowhead,Michael Fark,Liberal,17469,25.2
48037,Yellowhead,Vicky Bayford,People's Party - PPC,952,1.4
48037,Yellowhead,William Stevenson,Conservative,47863,69.1
59001,Abbotsford--South Langley,Aeriol Alderking,People's Party - PPC,459,0.8
59001,Abbotsford--South Langley,Dharmasena Yakandawela,NDP-New Democratic Party,2104,3.8
59001,Abbotsford--South Langley,Kevin Gillies,Liberal,18969,33.9
59001,Abbotsford--South Langley,Melissa Snazell,Green Party,577,1.0
59001,Abbotsford--South Langley,Michael de Jong,Independent,9747,17.4
59001,Abbotsford--South Langley,Sukhman Gill,Conservative,24116,43.1
59002,Burnaby Central,Jagmeet Singh,NDP-New Democratic Party,9353,18.2
59002,Burnaby Central,James Yan,Conservative,19889,38.6
59002,Burnaby Central,Richard Farbridge,People's Party - PPC,506,1.0
59002,Burnaby Central,Wade Chang,Liberal,21745,42.2
59003,Burnaby North--Seymour,Jesse Fulton,People's Party - PPC,366,0.6
59003,Burnaby North--Seymour,Mauro Francis,Conservative,21742,33.9
59003,Burnaby North--Seymour,Michael Charrois,NDP-New Democratic Party,4121,6.4
59003,Burnaby North--Seymour,Terry Beech,Liberal,37829,59.1
59004,Cariboo--Prince George,Angie Bonazzo,NDP-New Democratic Party,3900,6.2
59004,Cariboo--Prince George,Clinton Emslie,Liberal,19243,30.4
59004,Cariboo--Prince George,Jake Wiens,Christian Heritage Party,174,0.3
59004,Cariboo--Prince George,Jodie Capling,Green Party,1155,1.8
59004,Cariboo--Prince George,Kenneth B. Thomson,Independent,208,0.3
59004,Cariboo--Prince George,Rudy Sans,People's Party - PPC,436,0.7
59004,Cariboo--Prince George,Todd Doherty,Conservative,38175,60.3
59005,Chilliwack--Hope,Christopher Adam,United Party of Canada (UP),129,0.2
59005,Chilliwack--Hope,Jeff Galbraith,People's Party - PPC,482,0.7
59005,Chilliwack--Hope,Mark Strahl,Conservative,36027,54.8
59005,Chilliwack--Hope,Salina Derish,Green Party,1083,1.6
59005,Chilliwack--Hope,Teri Westerby,NDP-New Democratic Party,4779,7.3
59005,Chilliwack--Hope,Zeeshan Khan,Liberal,23254,35.4
59006,Cloverdale--Langley City,Jim McMurtry,People's Party - PPC,289,0.5
59006,Cloverdale--Langley City,Kevin Daniel Wilkie,Green Party,493,0.9
59006,Cloverdale--Langley City,Kyle Latchford,Liberal,24828,46.4
59006,Cloverdale--Langley City,Tamara Jansen,Conservative,25606,47.8
59006,Cloverdale--Langley City,Vanessa Sharma,NDP-New Democratic Party,2350,4.4
59007,Columbia--Kootenay--Southern Rockies,James Wiedrick,Independent,856,1.2
