Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes
12011,Sydney--Glace Bay,Kimberly Losier,NDP-New Democratic Party,1789
12011,Sydney--Glace Bay,Michael Pittman,Libertarian,189
12011,Sydney--Glace Bay,Mike Kelloway,Liberal,25766
12011,Sydney--Glace Bay,Nik Boisvert,Marxist-Leninist,85
13001,Acadie--Bathurst,James Brown,Conservative,12541
13001,Acadie--Bathurst,Randi Rachelle Raynard,People's Party - PPC,1043
13001,Acadie--Bathurst,Serge Cormier,Liberal,32556
13001,Acadie--Bathurst,Ty Boulay,NDP-New Democratic Party,2108
13002,Beauséjour,Alex Gagne,NDP-New Democratic Party,1448
13002,Beauséjour,Dominic LeBlanc,Liberal,36139
13002,Beauséjour,Donna Allen,Libertarian,388
13002,Beauséjour,Eddie Cornell,People's Party - PPC,503
13002,Beauséjour,Josh Shaddick,Green Party,1291
13002,Beauséjour,Nathalie Vautour,Conservative,19862
13003,Fredericton--Oromocto,Brandon Ellis,Centrist,44
13003,Fredericton--Oromocto,Brian Macdonald,Conservative,16200
13003,Fredericton--Oromocto,David Myles,Liberal,30750
13003,Fredericton--Oromocto,Dominic Cardy,Canadian Future Party,345
13003,Fredericton--Oromocto,Heather Michaud,People's Party - PPC,208
13003,Fredericton--Oromocto,June Patterson,Communist,146
13003,Fredericton--Oromocto,Nicki Lyons-MacFarlane,NDP-New Democratic Party,908
13003,Fredericton--Oromocto,Pam Allen-Leblanc,Green Party,1568
13004,Fundy Royal,Alastair MacFarlane,People's Party - PPC,629
13004,Fundy Royal,Bill Kudla,Liberal,19103
13004,Fundy Royal,Cindy Andrie,NDP-New Democratic Party,1507
13004,Fundy Royal,Hans Johnsen,Green Party,961
13004,Fundy Royal,Rob Moore,Conservative,25411
13005,Madawaska--Restigouche,Daisy Petersen,NDP-New Democratic Party,1251
13005,Madawaska--Restigouche,Guillaume Deschênes-Thériault,Liberal,22720
13005,Madawaska--Restigouche,Michel Morin,Conservative,16320
13005,Madawaska--Restigouche,Nancy Mercier,People's Party - PPC,887
13006,Miramichi--Grand Lake,Josh Floyd,NDP-New Democratic Party,968
13006,Miramichi--Grand Lake,Lisa Harris,Liberal,18037
13006,Miramichi--Grand Lake,Matthew Ian Clark,Green Party,831
