Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes
24037,Laurier--Sainte-Marie,Steven Guilbeault,Liberal,27286
24038,Laval--Les Îles,Catherine Dansereau-Redhead,Bloc Québécois,8298
24038,Laval--Les Îles,Fayçal El-Khoury,Liberal,28302
24038,Laval--Les Îles,Konstantinos Merakos,Conservative,18355
24038,Laval--Les Îles,Étienne Loiselle-Schiettekatte,NDP-New Democratic Party,1961
24039,Les Pays-d'en-Haut,Ariane Charbonneau,Bloc Québécois,23750
24039,Les Pays-d'en-Haut,Eric-Abel Baland,NDP-New Democratic Party,1493
24039,Les Pays-d'en-Haut,George Mogiljansky,People's Party - PPC,639
24039,Les Pays-d'en-Haut,Karine Steinberger,Green Party,1038
24039,Les Pays-d'en-Haut,Tim Watchorn,Liberal,26967
24039,Les Pays-d'en-Haut,Vincent Leroux,Conservative,11816
24040,Lévis--Lotbinière,Ghislain Daigle,Liberal,20549
24040,Lévis--Lotbinière,Jacques Gourde,Conservative,33312
24040,Lévis--Lotbinière,Molly Cornish,NDP-New Democratic Party,1635
24040,Lévis--Lotbinière,Pier-Olivier Roy,People's Party - PPC,698
24040,Lévis--Lotbinière,Pierre Julien,Bloc Québécois,13627
24041,Longueuil--Charles-LeMoyne,Beritan Oerde,Bloc Québécois,13583
24041,Longueuil--Charles-LeMoyne,Donald Gagnon,Parti Rhinocéros Party,389
24041,Longueuil--Charles-LeMoyne,Marie-Andrée Gravel,NDP-New Democratic Party,2832
24041,Longueuil--Charles-LeMoyne,Sherry Romanado,Liberal,25138
24041,Longueuil--Charles-LeMoyne,Terry Roberts,Conservative,8547
24041,Longueuil--Charles-LeMoyne,Tiny Olinga,People's Party - PPC,411
24042,Longueuil--Saint-Hubert,Denis Trudel,Bloc Québécois,23468
24042,Longueuil--Saint-Hubert,Martine Boucher,Conservative,8447
24042,Longueuil--Saint-Hubert,Natilien Joseph,Liberal,24237
24042,Longueuil--Saint-Hubert,Nesrine Benhadj,NDP-New Democratic Party,2986
24043,Louis-Hébert,Claude Dussault,Conservative,12164
24043,Louis-Hébert,Jean-Paul Lussiaà-Berdou,NDP-New Democratic Party,1540
24043,Louis-Hébert,Joël Lightbound,Liberal,33512
24043,Louis-Hébert,Valérie Savard,Bloc Québécois,12897
24043,Louis-Hébert,Vatthana Maholy,People's Party - PPC,332
24044,Louis-Saint-Laurent--Akiawenhrahk,Anthony Leclerc,People's Party - PPC,527
24044,Louis-Saint-Laurent--Akiawenhrahk,Colette Ducharme,NDP-New Democratic Party,1607
24044,Louis-Saint-Laurent--Akiawenhrahk,Gérard Deltell,Conservative,29525
24044,Louis-Saint-Laurent--Akiawenhrahk,Martin Trudel,Bloc Québécois,12465
24044,Louis-Saint-Laurent--Akiawenhrahk,Rhode-Malaure Pierre,Liberal,21693
24045,Marc-Aurèle-Fortin,Alexandrah Cardona-Fortin,NDP-New Democratic Party,2128
24045,Marc-Aurèle-Fortin,Carlos Leitão,Liberal,29928
24045,Marc-Aurèle-Fortin,Claude Tousignant,Bloc Québécois,13584
24045,Marc-Aurèle-Fortin,Janina Moran,Conservative,11923
24046,Mégantic--L'Érable--Lotbinière,Charles Mckaig,Liberal,12594
24046,Mégantic--L'Érable--Lotbinière,Gabriel D'Astous,NDP-New Democratic Party,1066
24046,Mégantic--L'Érable--Lotbinière,Luc Berthold,Conservative,34470
24046,Mégantic--L'Érable--Lotbinière,Marek Spacek,People's Party - PPC,717
24046,Mégantic--L'Érable--Lotbinière,Réjean Hurteau,Bloc Québécois,9607
24046,Mégantic--L'Érable--Lotbinière,Yves Gilbert,Christian Heritage Party,181
24047,Mirabel,Albert Batten,NDP-New Democratic Party,1333
24047,Mirabel,Christian Montpetit,People's Party - PPC,400
24047,Mirabel,Jean-Denis Garon,Bloc Québécois,22494
24047,Mirabel,Mario Guay,Green Party,792
24047,Mirabel,Robert Fleming,Liberal,18796
24047,Mirabel,Serge Dubord,Conservative,12544
24048,Mount Royal,Adam Frank,NDP-New Democratic Party,2353
24048,Mount Royal,Anthony Housefather,Liberal,25544
24048,Mount Royal,Diane Johnston,Marxist-Leninist,216
24048,Mount Royal,Neil Oberman,Conservative,20244
24048,Mount Royal,Yegor Komarov,Bloc Québécois,1671
24049,Mont-Saint-Bruno--L'Acadie,Bienvenu-Olivier Ntumba,Liberal,32149
24049,Mont-Saint-Bruno--L'Acadie,Maria Korpijaakko,Green Party,833
24049,Mont-Saint-Bruno--L'Acadie,Mirabelle Leins,NDP-New Democratic Party,1590
24049,Mont-Saint-Bruno--L'Acadie,Nicolas Godin,Conservative,9335
24049,Mont-Saint-Bruno--L'Acadie,Noémie Rouillard,Bloc Québécois,23947
24049,Mont-Saint-Bruno--L'Acadie,Patrick Rochon,People's Party - PPC,397
24050,Montcalm,Denis Perreault,NDP-New Democratic Party,1893
24050,Montcalm,Fatima Badran,Liberal,15769
24050,Montcalm,Jean-Sébastien Lepage,Conservative,13589
24050,Montcalm,Luc Thériault,Bloc Québécois,27268
24051,Montmorency--Charlevoix,Alex Ouellet-Bélanger,Liberal,17101
24051,Montmorency--Charlevoix,Bart Cortenbach,People's Party - PPC,357
24051,Montmorency--Charlevoix,Caroline Desbiens,Bloc Québécois,19970
24051,Montmorency--Charlevoix,Gabriel Hardy,Conservative,20494
24051,Montmorency--Charlevoix,Gérard Briand,NDP-New Democratic Party,905
24051,Montmorency--Charlevoix,Élie Prud'Homme-Tessier,Green Party,580
24052,Notre-Dame-de-Grâce--Westmount,Alex Trainman Montagano,Independent,264
24052,Notre-Dame-de-Grâce--Westmount,Anna Gainey,Liberal,34226
24052,Notre-Dame-de-Grâce--Westmount,Arnold Downey,Green Party,1331
24052,Notre-Dame-de-Grâce--Westmount,Félix-Antoine Brault,Bloc Québécois,2652
24052,Notre-Dame-de-Grâce--Westmount,Malcolm Lewis-Richmond,NDP-New Democratic Party,3956
24052,Notre-Dame-de-Grâce--Westmount,Marc Perez,People's Party - PPC,256
24052,Notre-Dame-de-Grâce--Westmount,Neil Drabkin,Conservative,10517
24052,Notre-Dame-de-Grâce--Westmount,Rachel Hoffman,Marxist-Leninist,162
24052,Notre-Dame-de-Grâce--Westmount,Stephen Hensley,Parti Rhinocéros Party,126
24053,Outremont,Jonathan Pedneault,Green Party,4539
24053,Outremont,Rachel Bendayan,Liberal,26024
24053,Outremont,Ronan Reich,Conservative,5911
24053,Outremont,Rémi Lebeuf,Bloc Québécois,5644
24053,Outremont,Ève Péclet,NDP-New Democratic Party,5024
24054,Papineau,Garnet Colly,Marxist-Leninist,208
24054,Papineau,Julio Rivera,Conservative,4927
24054,Papineau,Marjorie Michel,Liberal,24700
24054,Papineau,Niall Ricardo,NDP-New Democratic Party,7606
24054,Papineau,Noah Cherney,People's Party - PPC,455
24054,Papineau,Sophy Forget Bélec,Bloc Québécois,7726
24054,Papineau,Stéphane Doucet,Communist,321
24054,Papineau,Xavier Watso,Parti Rhinocéros Party,676
24055,Pierre-Boucher--Les Patriotes--Verchères,Alexandre Blais,People's Party - PPC,528
24055,Pierre-Boucher--Les Patriotes--Verchères,Jean-François Filion,NDP-New Democratic Party,1541
24055,Pierre-Boucher--Les Patriotes--Verchères,Laurent de Casanove,Liberal,24217
24055,Pierre-Boucher--Les Patriotes--Verchères,Vincent Kunda,Conservative,7375
24055,Pierre-Boucher--Les Patriotes--Verchères,Xavier Barsalou-Duval,Bloc Québécois,28765
24056,Pierrefonds--Dollard,Eyad Mobayed,No Affiliation,48
24056,Pierrefonds--Dollard,Gordon Nash,People's Party - PPC,333
24056,Pierrefonds--Dollard,Kakou Richard Kouassi,NDP-New Democratic Party,1613
24056,Pierrefonds--Dollard,Katrina Archambault,Bloc Québécois,3097
24056,Pierrefonds--Dollard,Sameer Zuberi,Liberal,34326
24056,Pierrefonds--Dollard,Shahid Khan,Independent,266
24056,Pierrefonds--Dollard,Tanya Toledano,Conservative,17453
24057,Pontiac--Kitigan Zibi,Brian Nolan,Conservative,16221
24057,Pontiac--Kitigan Zibi,Claude Bertrand,Green Party,749
24057,Pontiac--Kitigan Zibi,Gilbert W. Whiteduck,NDP-New Democratic Party,2971
24057,Pontiac--Kitigan Zibi,Sophie Chatel,Liberal,32088
24057,Pontiac--Kitigan Zibi,Suzanne Proulx,Bloc Québécois,6071
24057,Pontiac--Kitigan Zibi,Todd Hoffman,People's Party - PPC,673
24058,Portneuf--Jacques-Cartier,Antonin Leroux,Liberal,18865
24058,Portneuf--Jacques-Cartier,Christian Hébert,Bloc Québécois,11606
24058,Portneuf--Jacques-Cartier,Félix Couture,NDP-New Democratic Party,1034
24058,Portneuf--Jacques-Cartier,Johann Queffelec,Green Party,728
24058,Portneuf--Jacques-Cartier,Joël Godin,Conservative,32184
24058,Portneuf--Jacques-Cartier,Simon Frenette,People's Party - PPC,524
24059,Québec Centre,Daniel Brisson,People's Party - PPC,2818
24059,Québec Centre,Jean-Yves Duclos,Liberal,27880
24059,Québec Centre,Patrick Kerr,Independent,1018
24059,Québec Centre,Simon Bérubé,Bloc Québécois,20203
24059,Québec Centre,Tommy Bureau,NDP-New Democratic Party,4400
24060,Repentigny,Benoit Lanoue,People's Party - PPC,384
24060,Repentigny,Charles Champagne,Conservative,9583
24060,Repentigny,Ednal Marc,Independent,314
24060,Repentigny,Nathalie Gagnon,NDP-New Democratic Party,1722
24060,Repentigny,Patrick Bonin,Bloc Québécois,26593
24060,Repentigny,Pierre Richard Thomas,Liberal,24419
24061,Richmond--Arthabaska,Alain Saint-Pierre,Liberal,20629
24061,Richmond--Arthabaska,Daniel Lebel,Bloc Québécois,17095
24061,Richmond--Arthabaska,Henri Donascimento,Independent,223
24061,Richmond--Arthabaska,Nataël Bureau,NDP-New Democratic Party,1248
24061,Richmond--Arthabaska,Philippe D'Arcangeli,People's Party - PPC,707
24061,Richmond--Arthabaska,Réal Batrhino Martel,Parti Rhinocéros Party,438
24061,Richmond--Arthabaska,Éric Lefebvre,Conservative,22206
24062,Rimouski--La Matapédia,Alexander Reford,Liberal,19201
24062,Rimouski--La Matapédia,Lysane Picker-Paquin,Parti Rhinocéros Party,295
24062,Rimouski--La Matapédia,Maxime Blanchette-Joncas,Bloc Québécois,24947
24062,Rimouski--La Matapédia,Nancy Joannette,Conservative,7324
24062,Rimouski--La Matapédia,Noémi Bureau-Civil,Independent,620
24062,Rimouski--La Matapédia,Raphaël Arsenault,Independent,242
24062,Rimouski--La Matapédia,Salomé Salvain,NDP-New Democratic Party,974
24062,Rimouski--La Matapédia,Taraneh Javanbakht,People's Party - PPC,338
24062,Rimouski--La Matapédia,Tommy Lefebvre,Independent,99
24063,Rivière-des-Mille-Îles,Alec Ware,Green Party,734
24063,Rivière-des-Mille-Îles,David Santamaria Quiceno,People's Party - PPC,306
24063,Rivière-des-Mille-Îles,Elia Lopez,Conservative,10398
24063,Rivière-des-Mille-Îles,Joseph Hakizimana,NDP-New Democratic Party,1270
24063,Rivière-des-Mille-Îles,Linda Lapointe,Liberal,27326
24063,Rivière-des-Mille-Îles,Luc Desilets,Bloc Québécois,19669
24063,Rivière-des-Mille-Îles,Michel Genois,Independent,184
24064,Rivière-du-Nord,Christel Marchand,NDP-New Democratic Party,2032
24064,Rivière-du-Nord,Mary-Helen Walton,Liberal,18345
24064,Rivière-du-Nord,Patricia Morrissette,Conservative,12203
24064,Rivière-du-Nord,Rhéal Fortin,Bloc Québécois,25438
24065,Rosemont--La Petite-Patrie,Alexandre Boulerice,NDP-New Democratic Party,24358
24065,Rosemont--La Petite-Patrie,Benoît Morham,Green Party,1368
24065,Rosemont--La Petite-Patrie,Jean-Sébastien Vallée,Liberal,18757
24065,Rosemont--La Petite-Patrie,Laetitia Tchatat,Conservative,4073
24065,Rosemont--La Petite-Patrie,Olivier Gignac,Bloc Québécois,10864
24066,Saint-Hyacinthe--Bagot--Acton,Gaëtan Deschênes,Conservative,10431
24066,Saint-Hyacinthe--Bagot--Acton,Martin Grenier,Green Party,800
24066,Saint-Hyacinthe--Bagot--Acton,Mélanie Bédard,Liberal,19504
24066,Saint-Hyacinthe--Bagot--Acton,Raymonde Plamondon,NDP-New Democratic Party,1373
24066,Saint-Hyacinthe--Bagot--Acton,Simon-Pierre Savard-Tremblay,Bloc Québécois,25447
24066,Saint-Hyacinthe--Bagot--Acton,Sylvain Pariseau,People's Party - PPC,431
24067,Saint-Jean,Christine Normandin,Bloc Québécois,28474
24067,Saint-Jean,Danielle Dubuc,NDP-New Democratic Party,1650
24067,Saint-Jean,Marie Louis-Seize,Conservative,10480
24067,Saint-Jean,Patrick Agbokou,Liberal,21999
24067,Saint-Jean,Tchad Deschenes,People's Party - PPC,624
24067,Saint-Jean,Vincent Piette,Green Party,988
24068,Saint-Laurent,Emmanuella Lambropoulos,Liberal,26021
24068,Saint-Laurent,Fernand Deschamps,Marxist-Leninist,137
24068,Saint-Laurent,Manon Chevalier,People's Party - PPC,349
24068,Saint-Laurent,Marielle Gendron,Bloc Québécois,2523
24068,Saint-Laurent,Richard Chambers,Green Party,693
24068,Saint-Laurent,Richard Serour,Conservative,12477
24068,Saint-Laurent,Ryan Byrne,NDP-New Democratic Party,1985
24069,Saint-Léonard--Saint-Michel,Caroline Mailloux,People's Party - PPC,388
24069,Saint-Léonard--Saint-Michel,Laurie Lelacheur,Bloc Québécois,2938
24069,Saint-Léonard--Saint-Michel,Marwan El Attar,NDP-New Democratic Party,2450
24069,Saint-Léonard--Saint-Michel,Panagiota Koroneos,Conservative,8457
24069,Saint-Léonard--Saint-Michel,Patricia Lattanzio,Liberal,26833
24070,Saint-Maurice--Champlain,David Rioux,People's Party - PPC,455
24070,Saint-Maurice--Champlain,Dji-Pé Frazer,Parti Rhinocéros Party,251
24070,Saint-Maurice--Champlain,François-Philippe Champagne,Liberal,31095
24070,Saint-Maurice--Champlain,Marie-Claude Gaudet,Green Party,704
24070,Saint-Maurice--Champlain,Nathalie Garceau,NDP-New Democratic Party,1224
24070,Saint-Maurice--Champlain,Pierre-Augustin Allard,Conservative,15321
24070,Saint-Maurice--Champlain,Thierry Bilodeau,Bloc Québécois,13190
24071,Shefford,Andréanne Larouche,Bloc Québécois,26726
24071,Shefford,Felix Dionne,Liberal,26155
24071,Shefford,James Seale,Conservative,11404
24071,Shefford,Patrick Jasmin,NDP-New Democratic Party,1557
24071,Shefford,Susanne Lefebvre,People's Party - PPC,789
24072,Sherbrooke,Alexandre Lépine,People's Party - PPC,576
24072,Sherbrooke,Esteban Méndez-Hord,Conservative,7983
24072,Sherbrooke,Jean-Pierre Fortier,NDP-New Democratic Party,3516
24072,Sherbrooke,Kevin McKenna,Green Party,1383
24072,Sherbrooke,Pierre-Étienne Rouillard,Bloc Québécois,16224
24072,Sherbrooke,Élisabeth Brière,Liberal,31249
24073,Terrebonne,Adrienne Charles,Conservative,10961
24073,Terrebonne,Benjamin Rankin,Green Party,630
24073,Terrebonne,Maria Cantore,People's Party - PPC,428
24073,Terrebonne,Maxime Beaudoin,NDP-New Democratic Party,1556
24073,Terrebonne,Nathalie Sinclair-Desgagné,Bloc Québécois,23351
24073,Terrebonne,Tatiana Auguste,Liberal,23352
24074,Thérèse-De Blainville,Chantal Lavoie,People's Party - PPC,446
24074,Thérèse-De Blainville,Julie Bergeron,Conservative,12019
24074,Thérèse-De Blainville,Madeleine Chenette,Liberal,29519
24074,Thérèse-De Blainville,Marie-Noëlle Closson-Duquette,Bloc Québécois,20828
24074,Thérèse-De Blainville,Michel Lacroix,NDP-New Democratic Party,1585
24075,Trois-Rivières,Caroline Desrochers,Liberal,25147
24075,Trois-Rivières,David Turcotte,Green Party,569
24075,Trois-Rivières,Mathieu Doyon,Parti Rhinocéros Party,215
24075,Trois-Rivières,Matthew Sévigny,NDP-New Democratic Party,1437
24075,Trois-Rivières,René Villemure,Bloc Québécois,16921
24075,Trois-Rivières,Yan Patry,People's Party - PPC,320
24075,Trois-Rivières,Yves Levesque,Conservative,16708
24076,Vaudreuil,Christopher Massé,Bloc Québécois,10571
24076,Vaudreuil,Dave Hamelin-Schuilenburg,Green Party,957
24076,Vaudreuil,Jean Boily,People's Party - PPC,527
24076,Vaudreuil,Kalden Dhatsenpa,NDP-New Democratic Party,1602
24076,Vaudreuil,Peter Schiefke,Liberal,40982
24076,Vaudreuil,Thomas Barré,Conservative,16179
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Giovanni Di Placido,Parti Rhinocéros Party,209
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Kevin Majaducon,Bloc Québécois,4364
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Marc Miller,Liberal,30905
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Nathe Perrone,Green Party,996
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Steve Shanahan,Conservative,9113
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Suzanne Dufresne,NDP-New Democratic Party,2932
24078,Vimy,Alicia Parenteau-Malakhanian,Bloc Québécois,8526
24078,Vimy,Annie Koutrakis,Liberal,26531
24078,Vimy,Cindy Mercer,NDP-New Democratic Party,2342
24078,Vimy,Grace Daou,Conservative,12278
35001,Ajax,Faisal Ali,Centrist,643
35001,Ajax,Greg Brady,Conservative,25658
35001,Ajax,Jennifer McKelvie,Liberal,36975
35001,Ajax,Kyle Forster,NDP-New Democratic Party,1762
35001,Ajax,Leigh Paulseth,Green Party,612
35002,Algonquin--Renfrew--Pembroke,Cheryl Gallant,Conservative,37333
35002,Algonquin--Renfrew--Pembroke,Cyndi Mills,Liberal,25338
35002,Algonquin--Renfrew--Pembroke,Danilo Velasquez,Green Party,618
35002,Algonquin--Renfrew--Pembroke,Eileen Jones-Whyte,NDP-New Democratic Party,2469
35002,Algonquin--Renfrew--Pembroke,Randy Briand,United Party of Canada (UP),909
35002,Algonquin--Renfrew--Pembroke,Seth Malina,Independent,229
35002,Algonquin--Renfrew--Pembroke,Stefan Klietsch,Independent,122
35003,Aurora--Oak Ridges--Richmond Hill,Costas Menegakis,Conservative,34023
35003,Aurora--Oak Ridges--Richmond Hill,Danielle Maniuk,NDP-New Democratic Party,835
35003,Aurora--Oak Ridges--Richmond Hill,Igor Tvorogov,People's Party - PPC,256
35003,Aurora--Oak Ridges--Richmond Hill,Leah Taylor Roy,Liberal,26590
35003,Aurora--Oak Ridges--Richmond Hill,Tom Muench,Green Party,465
35004,Barrie South--Innisfil,Andrew Harrigan,NDP-New Democratic Party,2130
35004,Barrie South--Innisfil,John Brassard,Conservative,38943
35004,Barrie South--Innisfil,John Olthuis,Liberal,25557
35004,Barrie South--Innisfil,Mark Sampson,People's Party - PPC,695
35005,Barrie--Springwater--Oro-Medonte,Doug Shipley,Conservative,33949
35005,Barrie--Springwater--Oro-Medonte,Gabriela Trujillo,NDP-New Democratic Party,1559
35005,Barrie--Springwater--Oro-Medonte,Greg Taylor,Green Party,893
35005,Barrie--Springwater--Oro-Medonte,Michael Speers,Communist,158
35005,Barrie--Springwater--Oro-Medonte,Rose Zacharias,Liberal,29150
35006,Bay of Quinte,Chris Malette,Liberal,32846
35006,Bay of Quinte,Erica Charlton,Green Party,833
35006,Bay of Quinte,Kate Crothers,NDP-New Democratic Party,2373
35006,Bay of Quinte,Ryan Williams,Conservative,29130
35007,Beaches--East York,Diane Joseph,Independent,161
35007,Beaches--East York,Elizabeth Rowley,Communist,146
35007,Beaches--East York,Jack Pennings,Green Party,748
35007,Beaches--East York,Jocelyne Poirier,Conservative,13830
35007,Beaches--East York,Nate Erskine-Smith,Liberal,39804
35007,Beaches--East York,Shannon Devine,NDP-New Democratic Party,4027
35007,Beaches--East York,Steve Rutchinski,Marxist-Leninist,39
35008,Bowmanville--Oshawa North,Adam Smith,Parti Rhinocéros Party,68
35008,Bowmanville--Oshawa North,Bridget Girard,Liberal,32214
35008,Bowmanville--Oshawa North,Clint Cole,United Party of Canada (UP),143
35008,Bowmanville--Oshawa North,Elenor Marano,NDP-New Democratic Party,2032
35008,Bowmanville--Oshawa North,Ghuzna Imam,Centrist,134
35008,Bowmanville--Oshawa North,Jamil Jivani,Conservative,35232
35008,Bowmanville--Oshawa North,Julie Dietrich,Green Party,546
35008,Bowmanville--Oshawa North,Pranay Gunti,Independent,264
35008,Bowmanville--Oshawa North,Thomas Zekveld,Christian Heritage Party,155
35009,Brampton Centre,Amandeep Sodhi,Liberal,19716
35009,Brampton Centre,Anil Boodhai,NDP-New Democratic Party,1085
35009,Brampton Centre,Harsimran Kaur Hundal,People's Party - PPC,288
35009,Brampton Centre,Ray Shaver,Green Party,469
35009,Brampton Centre,Taha Nazir,Centrist,97
35009,Brampton Centre,Taran Chahal,Conservative,19105
35010,Brampton--Chinguacousy Park,Avi Dhaliwal,Independent,328
35010,Brampton--Chinguacousy Park,Hafiz Muneeb Ahmad,Centrist,194
35010,Brampton--Chinguacousy Park,Jayesh Brahmbhatt,People's Party - PPC,741
35010,Brampton--Chinguacousy Park,Mike Dancy,Green Party,521
35010,Brampton--Chinguacousy Park,Shafqat Ali,Liberal,21532
35010,Brampton--Chinguacousy Park,Teresa Yeh,NDP-New Democratic Party,1173
35010,Brampton--Chinguacousy Park,Tim Iqbal,Conservative,19591
35011,Brampton East,Abdus S Kissana,Centrist,132
35011,Brampton East,Bob Dosanjh Singh,Conservative,21731
35011,Brampton East,Haramrit Singh,NDP-New Democratic Party,821
35011,Brampton East,Jeff Lal,People's Party - PPC,2305
35011,Brampton East,Maninder Sidhu,Liberal,23616
35012,Brampton North--Caledon,Amandeep Judge,Conservative,22105
35012,Brampton North--Caledon,Ruby Sahota,Liberal,22847
35012,Brampton North--Caledon,Ruby Zaman,NDP-New Democratic Party,1008
35012,Brampton North--Caledon,Sat Anand,People's Party - PPC,635
35013,Brampton South,Manmohan Khroud,Independent,274
35013,Brampton South,Rajni Sharma,NDP-New Democratic Party,777
35013,Brampton South,Sonia Sidhu,Liberal,22001
35013,Brampton South,Sukhdeep Kang,Conservative,21193
35013,Brampton South,Vijay Kumar,People's Party - PPC,358
35014,Brampton West,Amarjeet Gill,Conservative,21112
35014,Brampton West,Kamal Khera,Liberal,20194
35014,Brampton West,Khawaja Amir Hassan,Centrist,95
35014,Brampton West,Sameera Khan,Green Party,278
35014,Brampton West,Zaigham Javed,NDP-New Democratic Party,708
35015,Brantford--Brant South--Six Nations,Anne Gajerski-Cauley,NDP-New Democratic Party,2410
35015,Brantford--Brant South--Six Nations,Clo Marie,Independent,80
35015,Brantford--Brant South--Six Nations,Joy O'Donnell,Liberal,27032
35015,Brantford--Brant South--Six Nations,Karleigh Csordas,Green Party,1110
35015,Brantford--Brant South--Six Nations,Larry Brock,Conservative,34501
35015,Brantford--Brant South--Six Nations,Leslie Bory,Independent,120
35015,Brantford--Brant South--Six Nations,Mike Clancy,Independent,148
35015,Brantford--Brant South--Six Nations,Nicholas Xenos,People's Party - PPC,392
35016,Bruce--Grey--Owen Sound,Alex Ruff,Conservative,35484
35016,Bruce--Grey--Owen Sound,Ann Gillies,United Party of Canada (UP),554
35016,Bruce--Grey--Owen Sound,Anne Marie Watson,Liberal,26837
35016,Bruce--Grey--Owen Sound,Christopher Neudorf,NDP-New Democratic Party,2069
35016,Bruce--Grey--Owen Sound,Natasha Akiwenzie,Green Party,1447
35016,Bruce--Grey--Owen Sound,Pavel Smolko,People's Party - PPC,520
35017,Burlington,Emily Brown,Conservative,31686
35017,Burlington,Karina Gould,Liberal,43593
35017,Burlington,Kyle Hutton,Green Party,595
35017,Burlington,Michael Bator,People's Party - PPC,523
35017,Burlington,Michael Beauchemin,NDP-New Democratic Party,1549
35017,Burlington,Ocean Marshall,Libertarian,105
35017,Burlington,Paul Harper,Parti Rhinocéros Party,75
35018,Burlington North--Milton West,Adam Van Koeverden,Liberal,37155
35018,Burlington North--Milton West,Charles Zach,People's Party - PPC,607
35018,Burlington North--Milton West,Nadeem Akbar,Conservative,31172
35018,Burlington North--Milton West,Naveed Ahmed,NDP-New Democratic Party,1507
35019,Cambridge,Bryan May,Liberal,30309
35019,Cambridge,Connie Cody,Conservative,31766
35019,Cambridge,José de Lima,NDP-New Democratic Party,2183
35019,Cambridge,Lux Burgess,Green Party,1052
35019,Cambridge,Manuel Couto,Marxist-Leninist,109
35020,Carleton,Agnieszka Marszalek,Independent,6
35020,Carleton,Alain Bourgault,Independent,8
35020,Carleton,Alain Lamontagne,Independent,5
35020,Carleton,Alex Banks,Independent,16
35020,Carleton,Alexander Lein,No Affiliation,6
35020,Carleton,Alexandra Engering,Independent,12
35020,Carleton,Andrea Hollinger,Independent,8
35020,Carleton,Anthony Hamel,Independent,2
35020,Carleton,Artem Gudkov,Independent,3
35020,Carleton,Benjamin Teichman,Independent,2
35020,Carleton,Beth Prokaska,NDP-New Democratic Party,1221
35020,Carleton,Blake Hamilton,Independent,6
35020,Carleton,Bruce Fanjoy,Liberal,43846
35020,Carleton,Charles Lemieux,Independent,10
35020,Carleton,Charlie Currie,Independent,20
35020,Carleton,Christopher Navarro-Canseco,No Affiliation,4
35020,Carleton,Connie Lukawski,Independent,8
35020,Carleton,Dan Kyung,Independent,35
35020,Carleton,Daniel Gagnon,Independent,8
35020,Carleton,Daniel Graham,Independent,2
35020,Carleton,Daniel Stuckless,Independent,11
35020,Carleton,Danny Légaré,Marijuana Party,37
35020,Carleton,Dante Camarena Jimenez,Independent,4
35020,Carleton,Darcy Vanderwater,No Affiliation,12
35020,Carleton,David Cherniak,Independent,5
35020,Carleton,David Nguyen,Independent,15
35020,Carleton,David Zhu,Independent,21
35020,Carleton,Demetrios Karavas,Independent,2
35020,Carleton,Donald McKay,Independent,11
35020,Carleton,Elliot Wand,Independent,5
35020,Carleton,Euan Fraser Tait,Independent,18
35020,Carleton,Gerrit Dogger,Independent,4
35020,Carleton,Gregory Gillis,Independent,4
35020,Carleton,Guillaume Paradis,Independent,37
35020,Carleton,Hakim Sheriff,Independent,6
35020,Carleton,Jaël Champagne Gareau,Independent,4
35020,Carleton,Jeani Boudreault,No Affiliation,12
35020,Carleton,Jeffrey Goodman,Independent,11
35020,Carleton,Jenny Cartwright,Independent,11
35020,Carleton,John Boylan,Independent,17
35020,Carleton,John Dale,Independent,20
35020,Carleton,John Francis O'Flynn,Independent,8
35020,Carleton,Joseph Maw,Independent,1
35020,Carleton,Julian Selody,Independent,7
35020,Carleton,Julie St-Amand,Independent,3
35020,Carleton,Karen Bourdeau,United Party of Canada (UP),112
35020,Carleton,Kerri Hildebrandt,No Affiliation,3
35020,Carleton,Kevin Krisa,Independent,5
35020,Carleton,Krzysztof Krzywinski,No Affiliation,3
35020,Carleton,Laina Kohler,No Affiliation,10
35020,Carleton,Lajos Polya,Independent,12
35020,Carleton,Lanna Palsson,Independent,4
35020,Carleton,Line Bélanger,Independent,6
35020,Carleton,Lorant Polya,Independent,57
35020,Carleton,Loren Hicks,Independent,6
35020,Carleton,Lény Painchaud,Independent,5
35020,Carleton,Manon Marie Lili Desbiens,No Affiliation,3
35020,Carleton,Maria Gabriel,Independent,10
35020,Carleton,Mark Moutter,Independent,23
35020,Carleton,Mark Watson,Green Party,561
35020,Carleton,Marthalee Aykroyd,Independent,9
35020,Carleton,Michael Bednarski,Independent,15
35020,Carleton,Michael Skirzynski,Independent,3
35020,Carleton,Michal Wieczorek,Independent,7
35020,Carleton,Mélodie Anderson,Independent,16
35020,Carleton,Pascal St-Amand,Independent,2
35020,Carleton,Patrick Strzalkowski,Independent,4
35020,Carleton,Peter Gorman,Independent,7
35020,Carleton,Pierre Gauthier,Independent,38
35020,Carleton,Pierre Poilievre,Conservative,39333
35020,Carleton,Robert Harris,Independent,8
35020,Carleton,Roger Sherwood,Independent,3
35020,Carleton,Ryan Huard,Independent,9
